BS SIZE,d (mm),s (mm),d (± mm),s (± mm)
001,0.74,1.02,0.1,0.08
002,1.07,1.27,0.1,0.08
003,1.42,1.53,0.1,0.08
004,1.78,1.78,0.13,0.08
005,2.57,1.78,0.13,0.08
006,2.9,1.78,0.13,0.08
007,3.69,1.78,0.13,0.08
008,4.47,1.78,0.13,0.08
009,5.28,1.78,0.13,0.08
010,6.07,1.78,0.13,0.08
011,7.66,1.78,0.13,0.08
012,9.25,1.78,0.13,0.08
013,10.82,1.78,0.13,0.08
014,12.42,1.78,0.13,0.08
015,14,1.78,0.13,0.08
016,15.6,1.78,0.13,0.08
019,20.35,1.78,0.15,0.08
020,21.95,1.78,0.15,0.08
021,23.52,1.78,0.15,0.08
022,25.12,1.78,0.15,0.08
023,26.7,1.78,0.15,0.08
024,28.3,1.78,0.15,0.08
025,29.87,1.78,0.15,0.08
026,31.47,1.78,0.15,0.08
027,33.05,1.78,0.15,0.08
028,34.65,1.78,0.15,0.08
029,37.82,1.78,0.25,0.08
030,41,1.78,0.25,0.08
031,44.17,1.78,0.25,0.08
032,47.37,1.78,0.25,0.08
033,50.52,1.78,0.25,0.08
034,53.67,1.78,0.25,0.08
035,56.87,1.78,0.25,0.08
036,60.04,1.78,0.25,0.08
037,63.22,1.78,0.25,0.08
038,66.4,1.78,0.25,0.08
039,69.57,1.78,0.38,0.08
040,72.76,1.78,0.38,0.08
041,75.94,1.78,0.38,0.08
042,82.28,1.78,0.38,0.08
043,88.64,1.78,0.38,0.08
044,95,1.78,0.38,0.08
045,101.34,1.78,0.38,0.08
046,107.7,1.78,0.38,0.08
047,114,1.78,0.38,0.08
048,120.4,1.78,0.38,0.08
049,126.76,1.78,0.58,0.08
050,133.1,1.78,0.58,0.08
102,1.24,2.62,0.1,0.08
103,2.06,2.62,0.13,0.08
104,2.84,2.62,0.13,0.08
105,3.63,2.62,0.13,0.08
106,4.42,2.62,0.13,0.08
107,5.23,2.62,0.13,0.08
108,6.02,2.62,0.13,0.08
109,7.6,2.62,0.13,0.08
110,9.19,2.62,0.13,0.08
111,10.78,2.62,0.13,0.08
112,12.37,2.62,0.13,0.08
113,13.95,2.62,0.13,0.08
114,15.54,2.62,0.13,0.08
115,17.13,2.62,0.13,0.08
